id,rating,comment,cleaned_comment,keywords,sentiment,comment_length
3815412,5,спасибо за оперативность,спасибо оперативность,"спасибо, оперативность",positive,24
3820641,5,выполнить,выполнить,выполнить,neutral,9
3828569,5,всё супер мастер,всё супер мастер,"всё, супер, мастер",neutral,16
3829748,5,благодарить ребята,благодарить ребята,"благодарить, ребята",neutral,18
3831509,5,спасибо большой,спасибо большой,"спасибо, большой",positive,15
3834081,5,проблема решить ручка окно поставить спасибо за обратный связь,проблема решить ручка окно поставить спасибо обратный связь,"проблема, решить, ручка",neutral,62
3835748,5,благодарить за проделать работа,благодарить проделать работа,"благодарить, проделать, работа",neutral,31
3835874,5,надеяться причина устранить а то после первый дождь быть тоже самый,надеяться причина устранить первый дождь самый,"надеяться, причина, устранить",neutral,67
3839647,5,спасибо всё чётко,спасибо всё чётко,"спасибо, всё, чётко",positive,17
3840353,5,благодарить,благодарить,благодарить,neutral,11
3841026,5,спасибо сергей,спасибо сергей,"спасибо, сергей",positive,14
3842440,5,михаил отличный мастер свой дело сделать быстро чисто дать рекомендация,михаил отличный мастер свой дело сделать быстро чисто дать рекомендация,"михаил, отличный, мастер",positive,71
3842790,5,хоть то сделать,сделать,сделать,neutral,15
3844645,5,профессионально быстро очень приятный мастер,профессионально быстро очень приятный мастер,"профессионально, быстро, очень",positive,44
3846831,5,спасибо вопрос решить всё стать нормально,спасибо вопрос решить всё стать нормально,"спасибо, вопрос, решить",positive,41
3848236,5,татьяна владимирович большой вы спасибо,татьяна владимирович большой спасибо,"татьяна, владимирович, большой",positive,39
3850118,1,спасибо за быстрый ответ,спасибо быстрый ответ,"спасибо, быстрый, ответ",positive,24
3852179,5,огромный спасибо вы от весь подъезд,огромный спасибо весь подъезд,"огромный, спасибо, весь",positive,35
3854073,5,всё отлично,всё отлично,"всё, отлично",positive,11
3856028,1,свершиться,свершиться,свершиться,neutral,10
3859764,5,спасибо мастер,спасибо мастер,"спасибо, мастер",positive,14
3859780,5,спасибо вы среагировать оперативно быстро а так же всё время быть связь,спасибо среагировать оперативно быстро всё время связь,"спасибо, среагировать, оперативно",positive,71
3860248,5,среагировать быстро благодарить,среагировать быстро благодарить,"среагировать, быстро, благодарить",positive,31
3862448,5,отличный мастер,отличный мастер,"отличный, мастер",positive,15
3863351,5,спасибо по крайний мера по ночь пока шум не слышный,спасибо крайний мера ночь пока шум слышный,"спасибо, крайний, мера",positive,51
3863609,5,быстро,быстро,быстро,positive,6
3866829,5,спасибо за своевременный выполнение заявка,спасибо своевременный выполнение заявка,"спасибо, своевременный, выполнение",positive,42
3866867,5,всё сделать быстро спасибо,всё сделать быстро спасибо,"всё, сделать, быстро",positive,26
3868883,5,всё отлично,всё отлично,"всё, отлично",positive,11
3872124,5,большой спасибо александр за оперативность профессионализм,большой спасибо александр оперативность профессионализм,"большой, спасибо, александр",positive,58
3873692,5,оперативно качественно спасибо,оперативно качественно спасибо,"оперативно, качественно, спасибо",positive,30
3875262,5,благодарить весь добрый,благодарить весь добрый,"благодарить, весь, добрый",neutral,23
3877334,3,к мастер вопрос нет,мастер вопрос,"мастер, вопрос",neutral,19
3877901,5,мастер быстро решить проблема всё исправить очень довольный спасибо,мастер быстро решить проблема всё исправить очень довольный спасибо,"мастер, быстро, решить",positive,67
3878088,5,вытяжка заработать спасибо отдельный спасибо мастер который сообщить нет причина препятствовать подключение вытяжка к домовой вентиляция,вытяжка заработать спасибо отдельный спасибо мастер который сообщить причина препятствовать подключение вытяжка домовой вентиляция,"вытяжка, спасибо, заработать",positive,136
3878555,5,спасибо большой надолго ли,спасибо большой надолго,"спасибо, большой, надолго",neutral,26
3879856,5,всё очень чётко организовать большой спасибо за работа,всё очень чётко организовать большой спасибо работа,"всё, очень, чётко",positive,54
3880345,5,спасибо вы большой за дверь за номер квартира,спасибо большой дверь номер квартира,"спасибо, большой, дверь",positive,45
3880717,3,снимать звезда за первый отписка без выполнение работа,снимать звезда первый отписка выполнение работа,"снимать, звезда, первый",neutral,54
3881004,5,день создание заявка рабочий оперативно прислать весь ужас убрать огромный благодарность,день создание заявка рабочий оперативно прислать весь ужас убрать огромный благодарность,"день, создание, заявка",positive,88
3881460,5,спасибо всё заработать,спасибо всё заработать,"спасибо, всё, заработать",positive,22
3881636,5,спасибо решить мой вопрос место офис,спасибо решить вопрос место офис,"спасибо, решить, вопрос",positive,36
3882840,5,спасибо большой ольга птушкина за проделать работа,спасибо большой ольга птушкина проделать работа,"спасибо, большой, ольга",positive,50
3883200,5,всё сделать хорошо починить вовремя наверное молодец,всё сделать починить вовремя наверное молодец,"всё, сделать, починить",neutral,52
3883549,5,супер спасибо,супер спасибо,"супер, спасибо",positive,13
3883658,5,отлично всё выполнить обещать,отлично всё выполнить обещать,"отлично, всё, выполнить",positive,29
3883736,5,очень оперативно спасибо большой,очень оперативно спасибо большой,"очень, оперативно, спасибо",positive,32
3883745,5,мастер андрей помочь подобрать оборудование кран переходник для подключение быстро качественно произвести подключение стиральный машинка огромный он спасибо,мастер андрей помочь подобрать оборудование кран переходник подключение быстро качественно произвести подключение стиральный машинка огромный спасибо,"подключение, мастер, андрей",positive,156
3884964,5,умело подкрутить редуктор давление молодец,умело подкрутить редуктор давление молодец,"умело, подкрутить, редуктор",neutral,42
3885089,5,всё хорошо дверь практически бесшумно закрываться,всё дверь практически бесшумно закрываться,"всё, дверь, практически",neutral,49
3886150,5,проблема таковой не быть я процесс поиск страх компания весь лишь спасибо сотрудник,проблема таковой процесс поиск страх компания весь лишь спасибо сотрудник,"проблема, таковой, процесс",neutral,83
3886231,5,быстро чётко без проблема один слово мастер,быстро чётко проблема слово мастер,"быстро, чётко, проблема",neutral,43
3886721,5,работать спасибо,работать спасибо,"работать, спасибо",positive,16
3886923,5,сегодня ездить всё исправно работать спасибо,сегодня ездить всё исправно работать спасибо,"сегодня, ездить, всё",positive,44
3886937,5,спасибо большой всё понятно,спасибо большой всё понятно,"спасибо, большой, всё",positive,27
3887002,5,татьяна спасибо,татьяна спасибо,"татьяна, спасибо",positive,15
3887203,5,вопрос ответить крепление нельзя повесить колясочный,вопрос ответить крепление повесить колясочный,"вопрос, ответить, крепление",neutral,52
3887228,5,большой спасибо,большой спасибо,"большой, спасибо",positive,15
3887353,5,хороший,хороший,хороший,positive,7
3887392,5,спасибо за то быстро отреагировать,спасибо быстро отреагировать,"спасибо, быстро, отреагировать",positive,34
3887422,5,сервис высота мастер профессионал,сервис высота мастер профессионал,"сервис, высота, мастер",neutral,33
3887606,1,около,около,около,neutral,5
3887614,2,надолго ли,надолго,надолго,negative,10
3887743,5,спасибо всё работать,спасибо всё работать,"спасибо, всё, работать",positive,20
3887844,5,заявка выполнить спасибо,заявка выполнить спасибо,"заявка, выполнить, спасибо",positive,24
3887922,5,дверь закрываться намного хороший,дверь закрываться намного хороший,"дверь, закрываться, намного",positive,33
3888009,5,спасибо за быстрый реагирование,спасибо быстрый реагирование,"спасибо, быстрый, реагирование",positive,31
3888318,5,оперативно сработать благодарить,оперативно сработать благодарить,"оперативно, сработать, благодарить",positive,32
3888354,5,спасибо сантехник алексей всё сделать качественно,спасибо сантехник алексей всё сделать качественно,"спасибо, сантехник, алексей",positive,49
3888539,5,огромный человеческий спасибо за оперативность выполнение работа наш дежурный сантехник прибыть воскресение через минута после написание заявка всё решиться хороший образ вот так бы всё вопрос оперативно решаться,огромный человеческий спасибо оперативность выполнение работа наш дежурный сантехник прибыть воскресение минута написание заявка всё решиться хороший образ всё вопрос оперативно решаться,"всё, огромный, человеческий",positive,212
3888591,5,очень оперативно никуда не прийтись ходить,очень оперативно никуда прийтись ходить,"очень, оперативно, никуда",positive,42
3888606,5,проблема решить,проблема решить,"проблема, решить",negative,15
3888633,5,очень оперативно отреагировать спасибо,очень оперативно отреагировать спасибо,"очень, оперативно, отреагировать",positive,38
3888794,5,оперативно качественно вопрос не возникнуть спасибо,оперативно качественно вопрос возникнуть спасибо,"оперативно, качественно, вопрос",positive,51
3888828,5,благодарить за оперативность,благодарить оперативность,"благодарить, оперативность",positive,28
3889213,5,спасибо за оперативный решение проблема,спасибо оперативный решение проблема,"спасибо, оперативный, решение",positive,39
3889473,1,оперативный работа,оперативный работа,"оперативный, работа",positive,18
3889502,5,оперативный решение проблема,оперативный решение проблема,"оперативный, решение, проблема",neutral,28
3889542,5,первый раз вы решить вопрос быстро,первый решить вопрос быстро,"первый, решить, вопрос",positive,34
3889783,5,отлично спасибо,отлично спасибо,"отлично, спасибо",positive,15
3889827,5,спасибо большой татьяна,спасибо большой татьяна,"спасибо, большой, татьяна",positive,23
3889956,5,хороший мастер свет спасибо большой,хороший мастер свет спасибо большой,"хороший, мастер, свет",positive,35
3890030,5,спасибо большой починить домофон,спасибо большой починить домофон,"спасибо, большой, починить",positive,32
3890209,5,отличный работа,отличный работа,"отличный, работа",positive,15
3890231,5,спасибо огромный за помощь,спасибо огромный помощь,"спасибо, огромный, помощь",positive,26
3890239,5,обычный услуга цена правда завысить за около ти минута работа,обычный услуга цена правда завысить около минута работа,"обычный, услуга, цена",neutral,61
3890275,5,отличный работа теперь дверь закрываться плавно спасибо,отличный работа дверь закрываться плавно спасибо,"отличный, работа, дверь",positive,55
3890393,5,всё супер быстро спасибо,всё супер быстро спасибо,"всё, супер, быстро",positive,24
3890484,5,оперативно спасибо,оперативно спасибо,"оперативно, спасибо",positive,18
3890486,5,супер,супер,супер,neutral,5
3890517,5,молодец оперативно,молодец оперативно,"молодец, оперативно",positive,18
3890604,5,вопрос решиться быстро спасибо,вопрос решиться быстро спасибо,"вопрос, решиться, быстро",positive,30
3890678,5,александр спасибо за объяснение причина бульканье,александр спасибо объяснение причина бульканье,"александр, спасибо, объяснение",positive,49
3890716,5,спасибо всё быстро,спасибо всё быстро,"спасибо, всё, быстро",positive,18
3890985,5,спасибо исправить мой ошибка,спасибо исправить ошибка,"спасибо, исправить, ошибка",positive,28
3891095,5,мастер сделать всё очень быстро аккуратно,мастер сделать всё очень быстро аккуратно,"мастер, сделать, всё",positive,41
3891325,5,очень вежливый профессиональный мастер устранить всё недочёт оперативно качественно просто отлично спасибо,очень вежливый профессиональный мастер устранить всё недочёт оперативно качественно просто отлично спасибо,"очень, вежливый, профессиональный",positive,106
3891380,5,иван огромный спасибо вы,иван огромный спасибо,"иван, огромный, спасибо",positive,24
3891477,5,среагировать за минута,среагировать минута,"среагировать, минута",neutral,22
3891489,5,спасибо специалист роман который помочь я наконец то решить мой вопрос очень грамотный вежливый специалист,спасибо специалист роман который помочь решить вопрос очень грамотный вежливый специалист,"специалист, спасибо, роман",positive,106
3891568,5,спасибо тот же день электрик решить проблема,спасибо день электрик решить проблема,"спасибо, день, электрик",neutral,44
3891612,5,лифт пола помыть большой спасибо за уборка ждать установка зеркало лифт,лифт пол помыть большой спасибо уборка ждать установка зеркало лифт,"лифт, пол, помыть",positive,71
3891850,5,да всё верно спасибо,всё верно спасибо,"всё, верно, спасибо",positive,20
3891871,5,спасибо всё бистро устранить,спасибо всё бистро устранить,"спасибо, всё, бистро",positive,28
3891943,4,спасибо вроде бы стать хороший,спасибо вроде стать хороший,"спасибо, вроде, стать",positive,30
3892115,5,спасибо большой за ваш быстрый профессиональный помощь,спасибо большой ваш быстрый профессиональный помощь,"спасибо, большой, ваш",positive,54
3892189,5,всё быстро не смотреть поздний час,всё быстро смотреть поздний час,"всё, быстро, смотреть",positive,34
3892432,5,ответ быть предоставить оперативно полный объём,ответ предоставить оперативно полный объём,"ответ, предоставить, оперативно",positive,47
3892474,5,спасибо огромный напор стать отличный,спасибо огромный напор стать отличный,"спасибо, огромный, напор",positive,37
3892548,5,спасибо там правда всё убрать стать прям чисто если мочь ещё отмыть пятно то быть очень вы признательный возможно там нужный не только тряпка,спасибо правда всё убрать стать прям чисто мочь ещё отмыть пятно очень признательный возможно нужный тряпка,"спасибо, правда, всё",positive,141
3892589,5,сделать,сделать,сделать,neutral,7
3892591,5,спасибо мастер сергей за чёткий работа,спасибо мастер сергей чёткий работа,"спасибо, мастер, сергей",positive,38
3892629,4,наконец то очень надеяться через день он не встать снова,очень надеяться день встать снова,"очень, надеяться, день",neutral,56
3892632,5,благодарить очень оперативно,благодарить очень оперативно,"благодарить, очень, оперативно",positive,28
3892659,5,быстро мастер большой спасибо,быстро мастер большой спасибо,"быстро, мастер, большой",positive,29
3892748,5,вопрос решить быстро спасибо мастер фото выполнить работа приложить даже позвонить,вопрос решить быстро спасибо мастер фото выполнить работа приложить позвонить,"вопрос, решить, быстро",positive,82
3892858,5,главное проблема решить спасибо,главное проблема решить спасибо,"главное, проблема, решить",neutral,31
3892909,5,спасибо всё сделать быстро очень вежливый сотрудник,спасибо всё сделать быстро очень вежливый сотрудник,"спасибо, всё, сделать",positive,51
3892910,5,спасибо решить проблема оперативно,спасибо решить проблема оперативно,"спасибо, решить, проблема",positive,34
3893074,5,оперативно внимательно вежливый спасибо,оперативно внимательно вежливый спасибо,"оперативно, внимательно, вежливый",positive,39
3893110,5,спасибо всё оперативно сделать,спасибо всё оперативно сделать,"спасибо, всё, оперативно",positive,30
3893437,5,быть распечатать бумажный квитанция хотеть поблагодарить работник расчётный отдел за разьяснение по квитанция найти электронный вариант квитанция приложение самолёт ук,распечатать бумажный квитанция хотеть поблагодарить работник расчётный отдел разьяснение квитанция найти электронный вариант квитанция приложение самолёт,"квитанция, распечатать, бумажный",neutral,167
3893476,5,заявка быстрый принять работа проблема решить спасибо,заявка быстрый принять работа проблема решить спасибо,"заявка, быстрый, принять",positive,53
3893532,5,молодец быстро,молодец быстро,"молодец, быстро",positive,14
3893735,5,спасибо большой за оперативность,спасибо большой оперативность,"спасибо, большой, оперативность",positive,32
3893860,5,спасибо большой весь благо процветание ваш компания,спасибо большой весь благо процветание ваш компания,"спасибо, большой, весь",positive,51
3893967,5,спасибо электрик,спасибо электрик,"спасибо, электрик",positive,16
3894064,5,всё грамотно по полочка объяснить,всё грамотно полочка объяснить,"всё, грамотно, полочка",neutral,33
3894130,5,благодарить за быстро качественно оказать услуга,благодарить быстро качественно оказать услуга,"благодарить, быстро, качественно",positive,48
3894191,5,спасибо за оперативный решение вопрос,спасибо оперативный решение вопрос,"спасибо, оперативный, решение",positive,37
3894326,5,огромный спасибо быстро качественно,огромный спасибо быстро качественно,"огромный, спасибо, быстро",positive,35
3894440,5,спасибо за ремонт,спасибо ремонт,"спасибо, ремонт",positive,17
3894680,5,благодарить менеджер татьяна,благодарить менеджер татьяна,"благодарить, менеджер, татьяна",neutral,28
3894684,5,благодарить менеджер,благодарить менеджер,"благодарить, менеджер",neutral,20
3894714,5,сотрудник молодец,сотрудник молодец,"сотрудник, молодец",neutral,17
3894893,5,оперативно качественно браво,оперативно качественно браво,"оперативно, качественно, браво",positive,28
3894902,5,спасибо огромный оперативно качественно решить проблема,спасибо огромный оперативно качественно решить проблема,"спасибо, огромный, оперативно",positive,55
3895042,5,подниматься сегодня утро запах нет совсем спасибо большой,подниматься сегодня утро запах спасибо большой,"подниматься, сегодня, утро",positive,57
3895051,5,специалист проконсультировать сориентировать по срок,специалист проконсультировать сориентировать срок,"специалист, проконсультировать, сориентировать",neutral,52
3895064,5,спасибо быстро качественно,спасибо быстро качественно,"спасибо, быстро, качественно",positive,26
3895519,5,быстро оперативно,быстро оперативно,"быстро, оперативно",positive,17
3895624,5,оперативно пока работать,оперативно пока работать,"оперативно, пока, работать",positive,24
3895634,5,лик спасибо вы за оперативный ответ подробный разъяснение по работа приложение,лик спасибо оперативный ответ подробный разъяснение работа приложение,"лик, спасибо, оперативный",positive,78
3895794,5,отличный сотрудник,отличный сотрудник,"отличный, сотрудник",positive,18
3895805,5,спасибо мастер олег,спасибо мастер олег,"спасибо, мастер, олег",positive,19
3895874,5,для точный оценка нужно пережить зима понять хороший стать или нет,точный оценка нужно пережить зима понять хороший стать,"точный, оценка, нужно",positive,66
3895925,5,спасибо большой за оперативность уже оценить песочек очень хороший чистый ребёнок быть очень рада песочница достаточный количество песок,спасибо большой оперативность оценить песочек очень хороший чистый ребёнок очень рада песочница достаточный количество песок,"очень, спасибо, большой",positive,136
3896179,5,быстро качественно,быстро качественно,"быстро, качественно",positive,18
3896191,5,спасибо большой всё решить быстро,спасибо большой всё решить быстро,"спасибо, большой, всё",positive,33
3896230,5,оперативно быстро,оперативно быстро,"оперативно, быстро",positive,17
3896480,5,оказать не только услуга по приобретение ключ но ещё установить приложение ук самолёт,оказать услуга приобретение ключ ещё установить приложение самолёт,"оказать, услуга, приобретение",neutral,85
3896509,5,приходить мастер всё отрегулировать большой спасибо,приходить мастер всё отрегулировать большой спасибо,"приходить, мастер, всё",positive,51
3896614,5,оперативно,оперативно,оперативно,positive,10
3896717,5,спасибо за консультация,спасибо консультация,"спасибо, консультация",positive,23
3896735,5,парень установщик отработать а вот упаковка не очень тк не полный комплект фурнитура отсутствовать комплект нижний ответка прийтись колхозить отпиливать кусок от старый ответка а также шуруп отсутствовать,парень установщик отработать упаковка очень полный комплект фурнитура отсутствовать комплект нижний ответка прийтись колхозить отпиливать кусок старый ответка также шуруп отсутствовать,"комплект, отсутствовать, ответка",neutral,204
3896818,5,спасибо всё хорошо,спасибо всё,"спасибо, всё",positive,18
3896822,5,всё около,всё около,"всё, около",neutral,9
3896870,5,сразу бы так,сразу,сразу,neutral,12
3896928,5,ответ получить спасибо результат стать уточнение я понять,ответ получить спасибо результат стать уточнение понять,"ответ, получить, спасибо",positive,57
3896945,5,благодарить за обратный связь за возможность добавить необходимый документ лк приложение тем самый решить вопрос не посещать клиентский офис при звонок быть вежливый доброжелательный отношение,благодарить обратный связь возможность добавить необходимый документ приложение самый решить вопрос посещать клиентский офис звонок вежливый доброжелательный отношение,"благодарить, обратный, связь",neutral,192
3896981,5,прислать следующий день,прислать следующий день,"прислать, следующий, день",neutral,23
3897000,5,очень быстро отреагировать работа качественный,очень быстро отреагировать работа качественный,"очень, быстро, отреагировать",positive,46
3897003,1,ну устранить,устранить,устранить,neutral,12
3897016,5,спасибо за подсказка внимательный отношение,спасибо подсказка внимательный отношение,"спасибо, подсказка, внимательный",positive,43
3897067,5,сантехник связаться сразу вопрос решить,сантехник связаться сразу вопрос решить,"сантехник, связаться, сразу",neutral,39
3897113,5,спасибо техника,спасибо техника,"спасибо, техника",positive,15
3897118,5,благодарить всё отлично,благодарить всё отлично,"благодарить, всё, отлично",positive,23
3897201,5,сантехник быть,сантехник,сантехник,neutral,14
3897252,5,подсказать куда обратиться для решение вопрос,подсказать обратиться решение вопрос,"подсказать, обратиться, решение",neutral,45
3897281,5,спасибо большой за информация татьяна молодец,спасибо большой информация татьяна молодец,"спасибо, большой, информация",positive,45
3897654,5,электрик прийти день обращение снять показание счеткик работать сотрудник вежливый благодарить,электрик прийти день обращение снять показание счеткик работать сотрудник вежливый благодарить,"электрик, прийти, день",neutral,94
3897730,5,всё быть сделать быстро качественно,всё сделать быстро качественно,"всё, сделать, быстро",positive,35
3897831,5,напор стать гораздо сильный небо земля быстро понять причина слабый напор спасибо,напор стать гораздо сильный небо земля быстро понять причина слабый напор спасибо,"напор, стать, гораздо",positive,81
3898045,5,спасибо за ваш работа вычислить бы кто вырвать предыдущий доводчик наказать а вы спасибо,спасибо ваш работа вычислить вырвать предыдущий доводчик наказать спасибо,"спасибо, ваш, работа",positive,88
3898232,5,да открыть спасибо,открыть спасибо,"открыть, спасибо",positive,18
3898417,5,быстро позвонить прислать всё сделать спасибо,быстро позвонить прислать всё сделать спасибо,"быстро, позвонить, прислать",positive,45
3898427,5,молодец очень оперативно прям минус один головной боль,молодец очень оперативно прям минус головной боль,"молодец, очень, оперативно",positive,54
3898572,5,очень быстро качественно спасибо,очень быстро качественно спасибо,"очень, быстро, качественно",positive,32
3898709,5,спасибо большой за разъяснение за оперативность,спасибо большой разъяснение оперативность,"спасибо, большой, разъяснение",positive,47
3898761,5,сотрудник работать мгновенно обрабатываться заявка ответ поступать сразу всё решаться отличный сервис очень приятно,сотрудник работать мгновенно обрабатываться заявка ответ поступать сразу всё решаться отличный сервис очень приятно,"сотрудник, работать, мгновенно",positive,115
3898762,5,быстро понятно,быстро понятно,"быстро, понятно",positive,14
3899012,5,просто удобно а также быстро экономия время ресурс,просто удобно также быстро экономия время ресурс,"просто, удобно, также",positive,50
3899842,5,отлично всё сделать бал,отлично всё сделать бал,"отлично, всё, сделать",positive,23
3899902,4,четвёрка за то выслать только второй раз нужный квитанция,четвёрка выслать второй нужный квитанция,"четвёрка, выслать, второй",neutral,57
3900150,5,спс,спс,спс,neutral,3
3900408,5,спасибо большой всё получить,спасибо большой всё получить,"спасибо, большой, всё",positive,28
3900525,5,спасибо очень оперативно,спасибо очень оперативно,"спасибо, очень, оперативно",positive,24
3900539,5,благодарить мастер всё объяснить дать рекомендация,благодарить мастер всё объяснить дать рекомендация,"благодарить, мастер, всё",neutral,50
3900559,5,ребята молодец,ребята молодец,"ребята, молодец",neutral,14
3900602,5,спасибо за оперативный решение,спасибо оперативный решение,"спасибо, оперативный, решение",positive,30
3900869,5,большой спасибо мастер,большой спасибо мастер,"большой, спасибо, мастер",positive,22
